,0
0,312.09352969305036
1,312.5987817426339
2,312.6567740152965
3,312.71240124945615
4,312.81230820359394
5,312.88337824751153
6,312.94501361359517
7,313.00352814790205
8,313.0574888154326
9,313.1068106955943
