,0
0,332.59214636885093
1,330.49829392800837
2,329.72913651203413
3,328.3098885067926
4,326.9421694851344
5,325.66663065413957
6,324.45412913566025
7,323.2947314876371
8,322.1620800208509
9,321.0873646675443
