,0
0,118.40924628252434
1,116.87489991809177
2,116.27473977508878
3,116.02472178926419
4,115.93263412081869
5,115.84295060225593
6,115.78094937904255
7,115.7124588780929
8,115.6497605534284
9,115.58749862560728
