,0
0,1256.2534647499617
1,1251.5903137336975
2,1248.2616521293164
3,1246.127047095171
4,1245.399368189253
5,1244.8603906015694
6,1244.051278192251
7,1243.5188424860098
8,1243.4439372634665
9,1243.3818981944457
